set,index,k,QQ,xB,t,phi,F,errF,varF,ReH,ReE,ReHtilde,dvcs,F_true
3,15,5.75,1.964,0.375,-0.278,232.5,0.0381208,0.00306034,0.08028,2.13112,-0.707273,-0.305326,0.0226188,0.0349548
3,16,5.75,1.964,0.375,-0.278,247.5,0.0357176,0.00252809,0.07078,2.13112,-0.707273,-0.305326,0.0226188,0.038373
3,17,5.75,1.964,0.375,-0.278,262.5,0.0454712,0.00332031,0.07302,2.13112,-0.707273,-0.305326,0.0226188,0.0434439
3,18,5.75,1.964,0.375,-0.278,277.5,0.0557077,0.0039909,0.07164,2.13112,-0.707273,-0.305326,0.0226188,0.0507624
3,19,5.75,1.964,0.375,-0.278,292.5,0.0704022,0.00535479,0.07606,2.13112,-0.707273,-0.305326,0.0226188,0.0609642
3,20,5.75,1.964,0.375,-0.278,307.5,0.0753867,0.00599249,0.07949,2.13112,-0.707273,-0.305326,0.0226188,0.0743786
3,21,5.75,1.964,0.375,-0.278,322.5,0.0867283,0.00758872,0.0875,2.13112,-0.707273,-0.305326,0.0226188,0.0902529
3,22,5.75,1.964,0.375,-0.278,337.5,0.1023,0.00916095,0.08955,2.13112,-0.707273,-0.305326,0.0226188,0.105709
3,23,5.75,1.964,0.375,-0.278,352.5,0.110915,0.0116217,0.10478,2.13112,-0.707273,-0.305326,0.0226188,0.115687
4,0,5.75,1.986,0.379,-0.323,7.5,0.113444,0.0158346,0.13958,2.08858,-0.73519,-0.268388,0.0205763,0.108604
4,1,5.75,1.986,0.379,-0.323,22.5,0.0884932,0.0104369,0.11794,2.08858,-0.73519,-0.268388,0.0205763,0.0968246
4,2,5.75,1.986,0.379,-0.323,37.5,0.0579309,0.00712608,0.12301,2.08858,-0.73519,-0.268388,0.0205763,0.0796831
4,3,5.75,1.986,0.379,-0.323,52.5,0.071074,0.00762552,0.10729,2.08858,-0.73519,-0.268388,0.0205763,0.0634229
4,4,5.75,1.986,0.379,-0.323,67.5,0.0493376,0.00519919,0.10538,2.08858,-0.73519,-0.268388,0.0205763,0.0507286
4,5,5.75,1.986,0.379,-0.323,82.5,0.0376943,0.00430808,0.11429,2.08858,-0.73519,-0.268388,0.0205763,0.0417308
4,6,5.75,1.986,0.379,-0.323,97.5,0.0343977,0.00361554,0.10511,2.08858,-0.73519,-0.268388,0.0205763,0.0356483
4,7,5.75,1.986,0.379,-0.323,112.5,0.0310716,0.00326251,0.105,2.08858,-0.73519,-0.268388,0.0205763,0.0316342
4,8,5.75,1.986,0.379,-0.323,127.5,0.0293933,0.0027665,0.09412,2.08858,-0.73519,-0.268388,0.0205763,0.0290322
4,9,5.75,1.986,0.379,-0.323,142.5,0.0310707,0.00316269,0.10179,2.08858,-0.73519,-0.268388,0.0205763,0.0273942
4,10,5.75,1.986,0.379,-0.323,157.5,0.0319617,0.00378139,0.11831,2.08858,-0.73519,-0.268388,0.0205763,0.0264365
4,11,5.75,1.986,0.379,-0.323,172.5,0.029734,0.00410121,0.13793,2.08858,-0.73519,-0.268388,0.0205763,0.0259949
4,12,5.75,1.986,0.379,-0.323,187.5,0.021947,0.00258448,0.11776,2.08858,-0.73519,-0.268388,0.0205763,0.0259949
4,13,5.75,1.986,0.379,-0.323,202.5,0.0267599,0.00299711,0.112,2.08858,-0.73519,-0.268388,0.0205763,0.0264365
4,14,5.75,1.986,0.379,-0.323,217.5,0.0244791,0.0024577,0.1004,2.08858,-0.73519,-0.268388,0.0205763,0.0273942
4,15,5.75,1.986,0.379,-0.323,232.5,0.0251167,0.00243431,0.09692,2.08858,-0.73519,-0.268388,0.0205763,0.0290322
4,16,5.75,1.986,0.379,-0.323,247.5,0.0300573,0.00283831,0.09443,2.08858,-0.73519,-0.268388,0.0205763,0.0316342
4,17,5.75,1.986,0.379,-0.323,262.5,0.0346716,0.00368836,0.10638,2.08858,-0.73519,-0.268388,0.0205763,0.0356483
